wavelength,n
0.00000015,1.576956302
1.63152E-07,1.558956742
1.76304E-07,1.541575384
1.89456E-07,1.525100492
2.02608E-07,1.509820328
2.1576E-07,1.496023156
2.28912E-07,1.483997239
2.42064E-07,1.474030841
2.55216E-07,1.466412226
2.68368E-07,1.461429657
2.685E-07,1.461394118
2.81521E-07,1.458101755
2.94673E-07,1.455180388
3.07825E-07,1.452627449
3.20977E-07,1.450404954
3.34129E-07,1.448474921
3.47281E-07,1.446799367
3.60433E-07,1.44534031
3.73585E-07,1.444059767
3.86737E-07,1.442919755
0.000000387,1.442898128
3.99889E-07,1.441885207
4.13041E-07,1.440941628
4.26193E-07,1.440082157
4.39345E-07,1.439299934
4.52497E-07,1.438588097
4.65649E-07,1.437939785
4.78801E-07,1.437348138
4.91953E-07,1.436806294
5.05105E-07,1.436307394
5.055E-07,1.436293018
5.18257E-07,1.435844367
5.3141E-07,1.435413148
5.44562E-07,1.435011556
5.57714E-07,1.434637412
5.70866E-07,1.434288537
5.84018E-07,1.433962751
5.9717E-07,1.433657876
6.10322E-07,1.433371731
6.23474E-07,1.433102138
0.000000624,1.433091668
6.36626E-07,1.432847438
6.49778E-07,1.432606836
6.6293E-07,1.432379367
6.76082E-07,1.432164067
6.89234E-07,1.431959969
7.02386E-07,1.431766109
7.15538E-07,1.431581519
7.2869E-07,1.431405237
7.41842E-07,1.431236294
7.425E-07,1.431228023
7.54994E-07,1.431074419
7.68147E-07,1.430919764
7.81299E-07,1.430771803
7.94451E-07,1.430630009
8.07603E-07,1.430493854
8.20755E-07,1.430362813
8.33907E-07,1.430236356
8.47059E-07,1.430113958
8.60211E-07,1.429995091
0.000000861,1.429988059
8.73363E-07,1.429879864
8.86515E-07,1.429768679
8.99667E-07,1.429661212
9.12819E-07,1.42955714
9.25971E-07,1.429456136
9.39123E-07,1.429357875
9.52275E-07,1.429262033
9.65427E-07,1.429168284
9.78579E-07,1.429076303
9.795E-07,1.429069923
9.91731E-07,1.428986282
1.00488E-06,1.428898637
1.01804E-06,1.428813159
1.03119E-06,1.428729635
1.04434E-06,1.42864785
1.05749E-06,1.428567591
1.07064E-06,1.428488644
1.0838E-06,1.428410796
1.09695E-06,1.428333834
0.000001098,1.428327709
1.1101E-06,1.428257934
1.12325E-06,1.428183457
1.1364E-06,1.428110261
1.14956E-06,1.428038201
1.16271E-06,1.427967134
1.17586E-06,1.427896914
1.18901E-06,1.427827398
1.20216E-06,1.427758441
1.21532E-06,1.427689899
1.2165E-06,1.427683746
1.22847E-06,1.427621911
1.24162E-06,1.427554761
1.25477E-06,1.427488352
1.26792E-06,1.427422585
1.28108E-06,1.427357362
1.29423E-06,1.427292584
1.30738E-06,1.427228153
1.32053E-06,1.427163969
1.33368E-06,1.427099935
0.000001335,1.427093536
1.34684E-06,1.427036152
1.35999E-06,1.42697283
1.37314E-06,1.426909904
1.38629E-06,1.426847307
1.39945E-06,1.426784972
1.4126E-06,1.426722829
1.42575E-06,1.426660813
1.4389E-06,1.426598855
1.45205E-06,1.426536887
1.4535E-06,1.426530067
1.46521E-06,1.426474979
1.47836E-06,1.426413284
1.49151E-06,1.426351758
1.50466E-06,1.426290353
1.51781E-06,1.426229023
1.53097E-06,1.426167723
1.54412E-06,1.426106405
1.55727E-06,1.426045024
1.57042E-06,1.425983533
0.000001572,1.425976145
1.58357E-06,1.425921979
1.59673E-06,1.425860467
1.60988E-06,1.425798968
1.62303E-06,1.42573745
1.63618E-06,1.425675882
1.64933E-06,1.425614232
1.66249E-06,1.425552468
1.67564E-06,1.425490559
1.68879E-06,1.425428473
1.6905E-06,1.425420387
1.70194E-06,1.425366239
1.71509E-06,1.42530393
1.72825E-06,1.425241526
1.7414E-06,1.425179005
1.75455E-06,1.425116345
1.7677E-06,1.425053527
1.78085E-06,1.424990527
1.79401E-06,1.424927324
1.80716E-06,1.424863898
0.000001809,1.424855
1.82031E-06,1.424800266
1.83346E-06,1.424736474
1.84661E-06,1.42467251
1.85977E-06,1.424608358
1.87292E-06,1.424544006
1.88607E-06,1.424479439
1.89922E-06,1.424414642
1.91238E-06,1.424349601
1.92553E-06,1.424284303
1.9275E-06,1.424274485
1.93868E-06,1.424218755
1.95183E-06,1.424152988
1.96498E-06,1.424086991
1.97814E-06,1.424020757
1.99129E-06,1.423954277
2.00444E-06,1.423887539
2.01759E-06,1.423820537
2.03074E-06,1.42375326
2.0439E-06,1.423685699
0.000002046,1.423674862
2.05705E-06,1.423617858
2.0702E-06,1.423549751
2.08335E-06,1.423481375
2.0965E-06,1.423412723
2.10966E-06,1.42334379
2.12281E-06,1.423274569
2.13596E-06,1.423205056
2.14911E-06,1.423135245
2.16226E-06,1.42306513
2.1645E-06,1.42305318
2.17542E-06,1.42299471
2.18857E-06,1.422923992
2.20172E-06,1.422852973
2.21487E-06,1.422781649
2.22802E-06,1.422710018
2.24118E-06,1.422638075
2.25433E-06,1.422565819
2.26748E-06,1.422493246
2.28063E-06,1.422420353
0.000002283,1.422407198
2.29378E-06,1.422347138
2.30694E-06,1.422273598
2.32009E-06,1.422199732
2.33324E-06,1.42212554
2.34639E-06,1.42205102
2.35954E-06,1.42197617
2.3727E-06,1.42190099
2.38585E-06,1.421825478
2.399E-06,1.421749632
2.4015E-06,1.421735184
2.41215E-06,1.42167345
2.42531E-06,1.421596923
2.43846E-06,1.421520052
2.45161E-06,1.421442836
2.46476E-06,1.421365276
2.47791E-06,1.421287372
2.49107E-06,1.421209124
2.50422E-06,1.421130531
2.51737E-06,1.421051595
0.00000252,1.421035766
2.53052E-06,1.420972309
2.54367E-06,1.420892663
2.55683E-06,1.420812657
2.56998E-06,1.420732293
2.58313E-06,1.420651572
2.59628E-06,1.420570495
2.60943E-06,1.420489061
2.62259E-06,1.420407274
2.63574E-06,1.420325133
2.6385E-06,1.420307839
2.64889E-06,1.420242633
2.66204E-06,1.42015976
2.67519E-06,1.420076515
2.68835E-06,1.419992901
2.7015E-06,1.419908918
2.71465E-06,1.419824568
2.7278E-06,1.419739854
2.74095E-06,1.419654777
2.75411E-06,1.419569338
0.000002757,1.419550493
2.76726E-06,1.419483531
2.78041E-06,1.419397341
2.79356E-06,1.41931077
2.80671E-06,1.419223818
2.81987E-06,1.41913649
2.83302E-06,1.419048786
2.84617E-06,1.41896071
2.85932E-06,1.418872262
2.87248E-06,1.418783446
2.8755E-06,1.418762966
2.88563E-06,1.418694255
2.89878E-06,1.418604672
2.91193E-06,1.418514698
2.92508E-06,1.418424337
2.93824E-06,1.418333591
2.95139E-06,1.418242462
2.96454E-06,1.418150954
2.97769E-06,1.418059067
2.99084E-06,1.417966806
0.000002994,1.417944607
3.004E-06,1.417874163
3.01715E-06,1.417781121
3.0303E-06,1.417687681
3.04345E-06,1.417593846
3.0566E-06,1.41749962
3.06976E-06,1.417405004
3.08291E-06,1.417310002
3.09606E-06,1.417214616
3.10921E-06,1.41711885
3.1125E-06,1.417094849
3.12236E-06,1.417022696
3.13552E-06,1.416926136
3.14867E-06,1.416829173
3.16182E-06,1.416731809
3.17497E-06,1.416634046
3.18812E-06,1.416535889
3.20128E-06,1.416437339
3.21443E-06,1.4163384
3.22758E-06,1.416239075
0.000003231,1.416213187
