wavelength(m),k
1.53941E-06,0.00008
1.54036E-06,0.00008
1.54131E-06,0.00008
1.54226E-06,0.00008
1.54321E-06,0.00008
1.54416E-06,0.00008
1.54512E-06,0.00008
1.54607E-06,0.00008
1.54703E-06,0.00008
1.54799E-06,0.00008
1.54895E-06,0.00008
1.54991E-06,0.00008
1.55087E-06,0.00008
1.55183E-06,0.00008
1.5528E-06,0.00008
1.55376E-06,0.00008
1.55473E-06,0.00008
1.55569E-06,0.00008
1.55666E-06,0.00008
1.55763E-06,0.00009
1.5586E-06,0.00009
1.55958E-06,0.00009
1.56055E-06,0.00009
1.56152E-06,0.00009
1.5625E-06,0.00009
1.56348E-06,0.00009
1.56446E-06,0.00009
1.56495E-06,0.00009
1.56544E-06,0.00009
1.56642E-06,0.00009
1.5674E-06,0.00009
1.56838E-06,0.00009
1.56937E-06,0.00009
1.57035E-06,0.00009
1.57134E-06,0.00009
1.57233E-06,0.00009
1.57332E-06,0.00009
1.57431E-06,0.00009
1.5753E-06,0.00009
1.57629E-06,0.00009
1.57729E-06,0.00009
1.57828E-06,0.00009
1.57928E-06,0.00009
1.58028E-06,0.00009
1.58128E-06,0.00009
1.58228E-06,0.00009
1.58328E-06,0.00009
1.58428E-06,0.00009
1.58529E-06,0.00009
1.58629E-06,0.00009
1.5873E-06,0.00009
1.58831E-06,0.00009
1.58932E-06,0.00009
1.59033E-06,0.00009
1.5905E-06,0.00009
1.59134E-06,0.00009
1.59236E-06,0.00009
1.59337E-06,0.00009
1.59439E-06,0.00009
1.59541E-06,0.00009
1.59642E-06,0.00009
1.59744E-06,0.00009
1.59847E-06,0.00009
1.59949E-06,0.00009
1.60051E-06,0.00009
1.60154E-06,0.00009
1.60256E-06,0.00009
1.60359E-06,0.00009
1.60462E-06,0.00009
1.60565E-06,0.00009
1.60668E-06,0.00009
1.60772E-06,0.00009
1.60875E-06,0.00009
1.60979E-06,0.00009
1.61082E-06,0.00009
1.61186E-06,0.00009
1.6129E-06,0.00009
1.61394E-06,0.00009
1.61499E-06,0.0001
1.61603E-06,0.0001
1.61604E-06,0.0001
1.61708E-06,0.0001
1.61812E-06,0.0001
1.61917E-06,0.0001
1.62022E-06,0.0001
1.62127E-06,0.0001
1.62232E-06,0.0001
1.62338E-06,0.0001
1.62443E-06,0.0001
1.62549E-06,0.0001
1.62655E-06,0.0001
1.6276E-06,0.0001
1.62866E-06,0.0001
1.62973E-06,0.0001
1.63079E-06,0.0001
1.63185E-06,0.0001
1.63292E-06,0.0001
1.63399E-06,0.0001
1.63506E-06,0.0001
1.63613E-06,0.0001
1.6372E-06,0.0001
1.63827E-06,0.0001
1.63934E-06,0.0001
1.64042E-06,0.0001
1.6415E-06,0.0001
1.64158E-06,0.0001
1.64258E-06,0.0001
1.64366E-06,0.0001
1.64474E-06,0.0001
1.64582E-06,0.0001
1.6469E-06,0.0001
1.64799E-06,0.0001
1.64908E-06,0.0001
1.65017E-06,0.0001
1.65125E-06,0.0001
1.65235E-06,0.0001
1.65344E-06,0.0001
1.65453E-06,0.0001
1.65563E-06,0.0001
1.65673E-06,0.0001
1.65782E-06,0.0001
1.65893E-06,0.0001
1.66003E-06,0.0001
1.66113E-06,0.0001
1.66223E-06,0.0001
1.66334E-06,0.0001
1.66445E-06,0.0001
1.66556E-06,0.0001
1.66667E-06,0.0001
1.66713E-06,0.0001
1.66778E-06,0.0001
1.66889E-06,0.00011
1.67001E-06,0.00011
1.67112E-06,0.00011
1.67224E-06,0.00011
1.67336E-06,0.00011
1.67448E-06,0.00011
1.6756E-06,0.00011
1.67673E-06,0.00011
1.67785E-06,0.00011
1.67898E-06,0.00011
1.68011E-06,0.00011
1.68124E-06,0.00011
1.68237E-06,0.00011
1.6835E-06,0.00011
