wavelength(m),n
1.53941E-06,1.62158
1.54036E-06,1.62157
1.54131E-06,1.62156
1.54226E-06,1.62155
1.54321E-06,1.62153
1.54416E-06,1.62152
1.54512E-06,1.62151
1.54607E-06,1.6215
1.54703E-06,1.62149
1.54799E-06,1.62148
1.54895E-06,1.62147
1.54991E-06,1.62145
1.55087E-06,1.62144
1.55183E-06,1.62143
1.5528E-06,1.62142
1.55376E-06,1.62141
1.55473E-06,1.6214
1.55569E-06,1.62138
1.55666E-06,1.62137
1.55763E-06,1.62136
1.5586E-06,1.62135
1.55958E-06,1.62134
1.56055E-06,1.62133
1.56152E-06,1.62131
1.5625E-06,1.6213
1.56348E-06,1.62129
1.56446E-06,1.62128
1.56495E-06,1.621275382
1.56544E-06,1.62127
1.56642E-06,1.62125
1.5674E-06,1.62124
1.56838E-06,1.62123
1.56937E-06,1.62122
1.57035E-06,1.62121
1.57134E-06,1.62119
1.57233E-06,1.62118
1.57332E-06,1.62117
1.57431E-06,1.62116
1.5753E-06,1.62115
1.57629E-06,1.62113
1.57729E-06,1.62112
1.57828E-06,1.62111
1.57928E-06,1.6211
1.58028E-06,1.62108
1.58128E-06,1.62107
1.58228E-06,1.62106
1.58328E-06,1.62105
1.58428E-06,1.62104
1.58529E-06,1.62102
1.58629E-06,1.62101
1.5873E-06,1.621
1.58831E-06,1.62099
1.58932E-06,1.62097
1.59033E-06,1.62096
1.5905E-06,1.620958342
1.59134E-06,1.62095
1.59236E-06,1.62094
1.59337E-06,1.62092
1.59439E-06,1.62091
1.59541E-06,1.6209
1.59642E-06,1.62088
1.59744E-06,1.62087
1.59847E-06,1.62086
1.59949E-06,1.62085
1.60051E-06,1.62083
1.60154E-06,1.62082
1.60256E-06,1.62081
1.60359E-06,1.6208
1.60462E-06,1.62078
1.60565E-06,1.62077
1.60668E-06,1.62076
1.60772E-06,1.62074
1.60875E-06,1.62073
1.60979E-06,1.62072
1.61082E-06,1.62071
1.61186E-06,1.62069
1.6129E-06,1.62068
1.61394E-06,1.62067
1.61499E-06,1.62065
1.61603E-06,1.62064
1.61604E-06,1.620639895
1.61708E-06,1.62063
1.61812E-06,1.62061
1.61917E-06,1.6206
1.62022E-06,1.62059
1.62127E-06,1.62057
1.62232E-06,1.62056
1.62338E-06,1.62055
1.62443E-06,1.62053
1.62549E-06,1.62052
1.62655E-06,1.62051
1.6276E-06,1.62049
1.62866E-06,1.62048
1.62973E-06,1.62047
1.63079E-06,1.62045
1.63185E-06,1.62044
1.63292E-06,1.62043
1.63399E-06,1.62041
1.63506E-06,1.6204
1.63613E-06,1.62039
1.6372E-06,1.62037
1.63827E-06,1.62036
1.63934E-06,1.62034
1.64042E-06,1.62033
1.6415E-06,1.62032
1.64158E-06,1.620318837
1.64258E-06,1.6203
1.64366E-06,1.62029
1.64474E-06,1.62028
1.64582E-06,1.62026
1.6469E-06,1.62025
1.64799E-06,1.62023
1.64908E-06,1.62022
1.65017E-06,1.62021
1.65125E-06,1.62019
1.65235E-06,1.62018
1.65344E-06,1.62016
1.65453E-06,1.62015
1.65563E-06,1.62014
1.65673E-06,1.62012
1.65782E-06,1.62011
1.65893E-06,1.62009
1.66003E-06,1.62008
1.66113E-06,1.62006
1.66223E-06,1.62005
1.66334E-06,1.62004
1.66445E-06,1.62002
1.66556E-06,1.62001
1.66667E-06,1.61999
1.66713E-06,1.619985729
1.66778E-06,1.61998
1.66889E-06,1.61996
1.67001E-06,1.61995
1.67112E-06,1.61993
