freq (hz),k
4E+14,2.50E-09
1.10522E+14,2.50E-09
7.89474E+13,1.30E-08
7.50000E+13,4.40E-08
6.00000E+13,1.99E-07
5.85023E+13,2.82E-07
5.70017E+13,2.97E-07
5.55042E+13,3.26E-07
5.39957E+13,3.94E-07
5.25026E+13,4.05E-07
5.10031E+13,4.17E-07
4.94968E+13,5.64E-07
4.80000E+13,8.46E-07
4.64972E+13,1.74E-06
4.49978E+13,2.66E-07
4.34972E+13,2.45E-05
4.19992E+13,1.68E-05
4.05022E+13,1.62E-05
3.90016E+13,2.49E-05
3.75000E+13,1.53E-05
3.60014E+13,2.41E-05
3.44986E+13,5.13E-05
3.38983E+13,7.11E-05
3.37496E+13,6.44E-05
3.35984E+13,8.38E-05
3.33000E+13,8.46E-05
3.29997E+13,5.49E-05
3.24009E+13,4.72E-05
3.17999E+13,3.75E-05
3.12012E+13,3.67E-05
3.05998E+13,4.84E-05
3.00000E+13,6.76E-05
2.94118E+13,1.09E-04
2.90980E+13,1.22E-04
2.87908E+13,1.24E-04
2.84900E+13,1.22E-04
2.81955E+13,1.27E-04
2.75989E+13,1.66E-04
2.70027E+13,2.02E-04
2.66904E+13,2.08E-04
2.64085E+13,2.02E-04
2.61097E+13,2.01E-04
2.57954E+13,1.73E-04
2.55102E+13,1.53E-04
2.52101E+13,1.44E-04
2.48963E+13,1.77E-04
2.45902E+13,2.06E-04
2.42915E+13,1.97E-04
2.40000E+13,1.77E-04
2.36967E+13,2.07E-04
2.34009E+13,2.14E-04
2.30947E+13,2.27E-04
2.27964E+13,2.39E-04
2.25056E+13,2.59E-04
2.22058E+13,3.12E-04
2.18978E+13,3.03E-04
2.15983E+13,2.21E-04
2.13068E+13,1.57E-04
2.09937E+13,1.02E-04
2.07039E+13,1.12E-04
2.03943E+13,1.24E-04
2.00938E+13,1.33E-04
1.98020E+13,1.41E-04
1.95059E+13,1.52E-04
1.91939E+13,1.64E-04
1.89036E+13,5.05E-04
1.85989E+13,9.63E-04
1.83038E+13,1.11E-03
1.81818E+13,1.25E-03
1.79964E+13,7.16E-04
1.76991E+13,4.18E-04
1.74014E+13,3.65E-04
1.71038E+13,4.15E-04
1.67973E+13,3.84E-04
1.61987E+13,3.40E-04
1.56006E+13,3.18E-04
1.50000E+13,2.86E-04
