freq (hz),n
5.56483E+14,4.123
5.51673E+14,4.106
5.46847E+14,4.089
5.42005E+14,4.073
5.37153E+14,4.057
5.32292E+14,4.042
5.27519E+14,4.026
5.22648E+14,4.012
5.17777E+14,3.997
5.12996E+14,3.983
5.08130E+14,3.969
5.03271E+14,3.956
4.98422E+14,3.943
4.93583E+14,3.931
4.88759E+14,3.918
4.83949E+14,3.906
4.79080E+14,3.893
4.74233E+14,3.882
4.69410E+14,3.87
4.64540E+14,3.858
4.59700E+14,3.847
4.54890E+14,3.837
4.50045E+14,3.826
4.45236E+14,3.815
4.40399E+14,3.805
4.35540E+14,3.796
4.30725E+14,3.787
4.25834E+14,3.778
4.20994E+14,3.768
4.16204E+14,3.761
4.11353E+14,3.752
4.06504E+14,3.745
4.01660E+14,3.736
3.96825E+14,3.728
3.92003E+14,3.721
3.87147E+14,3.714
3.82312E+14,3.705
3.77453E+14,3.697
3.72625E+14,3.688
3.67782E+14,3.681
3.62932E+14,3.673
1.50000E+14,3.449
1.23087E+14,3.4434
1.20000E+14,3.4424
1.10522E+14,3.4393
1.00000E+14,3.4361
9.08183E+13,3.4335
8.77501E+13,3.4327
8.57143E+13,3.4321
7.50000E+13,3.4294
6.00000E+13,3.4261
5.00000E+13,3.4242
4.28571E+13,3.4231
3.75000E+13,3.4224
3.33333E+13,3.4219
3.00000E+13,3.4215
2.22222E+13,3.4209
2.06897E+13,3.4208
2.00000E+13,3.4207
1.50000E+13,3.4204
