Wavelength (um),n                         
1.53846,1.44325
1.53941,1.44324
1.54036,1.44323
1.54131,1.44322
1.54226,1.44321
1.54321,1.4432
1.54416,1.44319
1.54512,1.44318
1.54607,1.44317
1.54703,1.44316
1.54799,1.44315
1.54895,1.44314
1.54991,1.44313
1.55087,1.44312
1.55183,1.44311
1.5528,1.44311
1.55376,1.4431
1.55473,1.44309
1.55569,1.44308
1.55666,1.44307
1.55763,1.44306
1.5586,1.44305
1.55958,1.44304
1.56055,1.44303
1.56152,1.44302
1.5625,1.44301
1.56348,1.443
1.564005591,1.442994637
1.56446,1.44299
1.56544,1.44298
1.56642,1.44297
1.5674,1.44296
1.56838,1.44295
1.56937,1.44294
1.57035,1.44293
1.57134,1.44292
1.57233,1.44291
1.57332,1.4429
1.57431,1.44289
1.5753,1.44288
1.57629,1.44287
1.57729,1.44286
1.57828,1.44285
1.57928,1.44284
1.58028,1.44283
1.58128,1.44282
1.58228,1.44281
1.58328,1.4428
1.58428,1.44279
1.58529,1.44278
1.58629,1.44277
1.5873,1.44276
1.58831,1.44275
1.58932,1.44274
1.589551182,1.442737711
1.59033,1.44273
1.59134,1.44272
1.59236,1.44271
1.59337,1.4427
1.59439,1.44269
1.59541,1.44267
1.59642,1.44266
1.59744,1.44265
1.59847,1.44264
1.59949,1.44263
1.60051,1.44262
1.60154,1.44261
1.60256,1.4426
1.60359,1.44259
1.60462,1.44258
1.60565,1.44257
1.60668,1.44256
1.60772,1.44255
1.60875,1.44254
1.60979,1.44253
1.61082,1.44252
1.61186,1.4425
1.6129,1.44249
1.61394,1.44248
1.61499,1.44247
1.615096774,1.442468977
1.61603,1.44246
1.61708,1.44245
1.61812,1.44244
1.61917,1.44243
1.62022,1.44242
1.62127,1.44241
1.62232,1.4424
1.62338,1.44239
1.62443,1.44237
1.62549,1.44236
1.62655,1.44235
1.6276,1.44234
1.62866,1.44233
1.62973,1.44232
1.63079,1.44231
1.63185,1.4423
1.63292,1.44228
1.63399,1.44227
1.63506,1.44226
1.63613,1.44225
1.6372,1.44224
1.63827,1.44223
1.63934,1.44222
1.64042,1.44221
1.640642365,1.442206523
1.6415,1.44219
1.64258,1.44218
1.64366,1.44217
1.64474,1.44216
1.64582,1.44215
1.6469,1.44214
1.64799,1.44213
1.64908,1.44211
1.65017,1.4421
1.65125,1.44209
1.65235,1.44208
1.65344,1.44207
1.65453,1.44206
1.65563,1.44204
1.65673,1.44203
1.65782,1.44202
1.65893,1.44201
1.66003,1.442
1.66113,1.44199
1.66223,1.44197
1.66334,1.44196
1.66445,1.44195
1.66556,1.44194
1.666187956,1.441934806
1.66667,1.44193
1.66778,1.44191
1.66889,1.4419
1.67001,1.44189
1.67112,1.44188
1.67224,1.44187
1.67336,1.44185
1.67448,1.44184
1.6756,1.44183
1.67673,1.44182
1.67785,1.4418
1.67898,1.44179
1.68011,1.44178
1.68124,1.44177
1.68237,1.44176
1.6835,1.44174
1.68464,1.44173
1.68577,1.44172
1.68691,1.44171
1.68805,1.44169
1.68919,1.44168
1.69033,1.44167
1.69147,1.44166
1.691733547,1.441656045
1.69262,1.44164
1.69377,1.44163
1.69492,1.44162
1.69607,1.44161
1.69722,1.44159
1.69837,1.44158
1.69952,1.44157
1.70068,1.44156
1.70184,1.44154
1.703,1.44153
1.70416,1.44152
1.70532,1.4415
1.70648,1.44149
1.70765,1.44148
1.70882,1.44147
1.70999,1.44145
1.71116,1.44144
1.71233,1.44143
1.7135,1.44141
1.71468,1.4414
1.71585,1.44139
1.71703,1.44137
1.717279138,1.441367451
1.71821,1.44136
1.71939,1.44135
1.72058,1.44133
1.72176,1.44132
1.72295,1.44131
1.72414,1.4413
1.72533,1.44128
1.72652,1.44127
1.72771,1.44126
1.72891,1.44124
1.7301,1.44123
1.7313,1.44121
1.7325,1.4412
1.7337,1.44119
1.73491,1.44117
1.73611,1.44116
1.73732,1.44115
1.73853,1.44113
1.73974,1.44112
1.74095,1.44111
1.74216,1.44109
1.742824729,1.441084176
1.74338,1.44108
1.74459,1.44107
1.74581,1.44105
1.74703,1.44104
1.74825,1.44102
1.74948,1.44101
1.7507,1.441
1.75193,1.44098
1.75316,1.44097
1.75439,1.44095
1.75562,1.44094
1.75685,1.44093
1.75809,1.44091
1.75932,1.4409
1.76056,1.44088
1.7618,1.44087
1.76305,1.44085
1.76429,1.44084
1.76554,1.44083
1.76678,1.44081
1.76803,1.4408
1.768370321,1.440795197
1.76929,1.44078
1.77054,1.44077
1.77179,1.44075
1.77305,1.44074
1.77431,1.44073
1.77557,1.44071
1.77683,1.4407
1.77809,1.44068
1.77936,1.44067
1.78063,1.44065
1.7819,1.44064
1.78317,1.44062
1.78444,1.44061
1.78571,1.44059
1.78699,1.44058
1.78827,1.44056
1.78955,1.44055
1.79083,1.44053
1.79211,1.44052
1.7934,1.4405
1.793915912,1.440495841
1.79469,1.44049
1.79598,1.44047
1.79727,1.44046
1.79856,1.44044
1.79986,1.44043
1.80115,1.44041
1.80245,1.4404
1.80375,1.44038
1.80505,1.44037
1.80636,1.44035
1.80766,1.44034
1.80897,1.44032
1.81028,1.4403
1.81159,1.44029
1.81291,1.44027
1.81422,1.44026
1.81554,1.44024
1.81686,1.44023
1.81818,1.44021
1.819461503,1.440200474
